gid	disp
Zm00001d001771	0
Zm00001d001774	0
Zm00001d001780	0
Zm00001d001784	0
Zm00001d001785	0
Zm00001d001786	0
Zm00001d001789	0
Zm00001d001790	0
Zm00001d001797	0
Zm00001d001800	0
Zm00001d001803	0
Zm00001d001804	0
Zm00001d001807	0
Zm00001d001808	0
Zm00001d001809	0
Zm00001d001812	0
Zm00001d001813	0
Zm00001d001814	0
Zm00001d001825	0
Zm00001d001826	0
Zm00001d001827	0
Zm00001d001830	0
Zm00001d001831	0
Zm00001d001837	0
Zm00001d001844	0
Zm00001d001846	0
Zm00001d001847	0
Zm00001d001848	0
Zm00001d001849	0
Zm00001d001852	0
Zm00001d001855	0
Zm00001d001856	0
Zm00001d001859	0
Zm00001d001862	0
Zm00001d001864	0
Zm00001d001866	0
Zm00001d001868	0
Zm00001d001869	0
Zm00001d001870	0
Zm00001d001935	0
Zm00001d001973	0
Zm00001d002145	0
Zm00001d002149	0
Zm00001d002302	0
Zm00001d002325	0
Zm00001d002326	0
Zm00001d002330	0
Zm00001d002332	0
Zm00001d002334	0
Zm00001d002338	0
Zm00001d002339	0
Zm00001d002340	0
Zm00001d002342	0
Zm00001d002344	0
Zm00001d002349	0
Zm00001d002352	0
Zm00001d002353	0
Zm00001d002364	0
Zm00001d002366	0
Zm00001d002369	0
Zm00001d002371	0
Zm00001d002377	0
Zm00001d002382	0
Zm00001d002383	0
Zm00001d002396	0
Zm00001d002462	0
Zm00001d002485	0
Zm00001d002690	0
Zm00001d002694	0
Zm00001d002695	0
Zm00001d002703	0
Zm00001d002704	0
Zm00001d002708	0
Zm00001d002711	0
Zm00001d002713	0
Zm00001d002718	0
Zm00001d002725	0
Zm00001d002727	0
Zm00001d002730	0
Zm00001d002733	0
Zm00001d002734	0
Zm00001d002737	0
Zm00001d002739	0
Zm00001d002742	0
Zm00001d002751	0
Zm00001d002758	0
Zm00001d002759	0
Zm00001d002768	0
Zm00001d002801	0
Zm00001d002811	0
Zm00001d002812	0
Zm00001d002819	0
Zm00001d002827	0
Zm00001d002837	0
Zm00001d002842	0
Zm00001d002850	0
Zm00001d002851	0
Zm00001d002853	0
Zm00001d002854	0
Zm00001d002856	0
Zm00001d002857	0
Zm00001d002859	0
Zm00001d002868	0
Zm00001d002871	0
Zm00001d002896	0
Zm00001d002905	0
Zm00001d002919	0
Zm00001d002936	0
Zm00001d002941	0
Zm00001d002942	0
Zm00001d002943	0
Zm00001d002944	0
Zm00001d002945	0
Zm00001d002946	0
Zm00001d002953	0
Zm00001d002954	0
Zm00001d002956	0
Zm00001d002961	0
Zm00001d002962	0
Zm00001d002966	0
Zm00001d002967	0
Zm00001d002969	0
Zm00001d002980	0
Zm00001d002992	0
Zm00001d003002	0
Zm00001d003009	0
Zm00001d003014	0
Zm00001d003015	0
Zm00001d003016	0
Zm00001d003017	0
Zm00001d003031	0
Zm00001d003034	0
Zm00001d003035	0
Zm00001d003040	0
Zm00001d003044	0
Zm00001d003047	0
Zm00001d003049	0
Zm00001d003052	0
Zm00001d003058	0
Zm00001d003064	0
Zm00001d003081	0
Zm00001d003084	0
Zm00001d003087	0
Zm00001d003108	0
Zm00001d003112	0
Zm00001d003114	0
Zm00001d003116	0
Zm00001d003119	0
Zm00001d003123	0
Zm00001d003127	0
Zm00001d003129	0
Zm00001d003147	0
Zm00001d003148	0
Zm00001d003157	0
Zm00001d003159	0
Zm00001d003176	0
Zm00001d003179	0
Zm00001d003180	0
Zm00001d003181	0
Zm00001d003193	0
Zm00001d003196	0
Zm00001d003197	0
Zm00001d003198	0
Zm00001d003200	0
Zm00001d003203	0
Zm00001d003207	0
Zm00001d003213	0
Zm00001d003214	0
Zm00001d003228	0
Zm00001d003242	0
Zm00001d003246	0
Zm00001d003247	0
Zm00001d003248	0
Zm00001d003250	0
Zm00001d003252	0
Zm00001d003254	0
Zm00001d003256	0
Zm00001d003259	0
Zm00001d003262	0
Zm00001d003265	0
Zm00001d003268	0
Zm00001d003271	0
Zm00001d003283	0
Zm00001d003284	0
Zm00001d003288	0
Zm00001d003291	0
Zm00001d003302	0
Zm00001d003306	0
Zm00001d003311	0
Zm00001d003328	0
Zm00001d003329	0
Zm00001d003333	0
Zm00001d003345	0
Zm00001d003347	0
Zm00001d003352	0
Zm00001d003369	0
Zm00001d003372	0
Zm00001d003376	0
Zm00001d003378	0
Zm00001d003379	0
Zm00001d003381	0
Zm00001d003393	0
Zm00001d003394	0
Zm00001d003395	0
Zm00001d003399	0
Zm00001d003400	0
Zm00001d003401	0
Zm00001d003406	0
Zm00001d003414	0
Zm00001d003415	0
Zm00001d003426	0
Zm00001d003427	0
Zm00001d003428	0
Zm00001d003432	0
Zm00001d003434	0
Zm00001d003438	0
Zm00001d003446	0
Zm00001d003457	0
Zm00001d003460	0
Zm00001d003462	0
Zm00001d003468	0
Zm00001d003470	0
Zm00001d003471	0
Zm00001d003476	0
Zm00001d003495	0
Zm00001d003500	0
Zm00001d003502	0
Zm00001d003504	0
Zm00001d003509	0
Zm00001d003511	0
Zm00001d003512	0
Zm00001d003518	0
Zm00001d003525	0
Zm00001d003533	0
Zm00001d003538	0
Zm00001d003555	0
Zm00001d003556	0
Zm00001d003584	0
Zm00001d003589	0
Zm00001d003590	0
Zm00001d003593	0
Zm00001d003602	0
Zm00001d003616	0
Zm00001d003621	0
Zm00001d003632	0
Zm00001d003640	0
Zm00001d003643	0
Zm00001d003644	0
Zm00001d003649	0
Zm00001d003650	0
Zm00001d003652	0
Zm00001d003653	0
Zm00001d003654	0
Zm00001d003655	0
Zm00001d003658	0
Zm00001d003659	0
Zm00001d003660	0
Zm00001d003663	0
Zm00001d003669	0
Zm00001d003670	0
Zm00001d003671	0
Zm00001d003672	0
Zm00001d003673	0
Zm00001d003677	0
Zm00001d003678	0
Zm00001d003679	0
Zm00001d003680	0
Zm00001d003683	0
Zm00001d003685	0
Zm00001d003710	0
Zm00001d003712	0
Zm00001d003713	0
Zm00001d003719	0
Zm00001d003725	0
Zm00001d003729	0
Zm00001d003730	0
Zm00001d003750	0
Zm00001d003751	0
Zm00001d003756	0
Zm00001d003778	0
Zm00001d003781	0
Zm00001d003800	0
Zm00001d003807	0
Zm00001d003812	0
Zm00001d003817	0
Zm00001d003822	0
Zm00001d003830	0
Zm00001d003833	0
Zm00001d003836	0
Zm00001d003839	0
Zm00001d003840	0
Zm00001d003841	0
Zm00001d003848	0
Zm00001d003851	0
Zm00001d003857	0
Zm00001d003861	0
Zm00001d003864	0
Zm00001d003872	0
Zm00001d003878	0
Zm00001d003879	0
Zm00001d003889	0
Zm00001d003890	0
Zm00001d003894	0
Zm00001d003895	0
Zm00001d003896	0
Zm00001d003902	0
Zm00001d003905	0
Zm00001d003911	0
Zm00001d003947	0
Zm00001d003948	0
Zm00001d003950	0
Zm00001d003957	0
Zm00001d003958	0
Zm00001d003975	0
Zm00001d003984	0
Zm00001d004006	0
Zm00001d004009	0
Zm00001d004015	0
Zm00001d004019	0
Zm00001d004083	0
Zm00001d004086	0
Zm00001d004090	0
Zm00001d004091	0
Zm00001d004119	0
Zm00001d004125	0
Zm00001d004136	0
Zm00001d004137	0
Zm00001d004138	0
Zm00001d004139	0
Zm00001d004140	0
Zm00001d004152	0
Zm00001d004153	0
Zm00001d004154	0
Zm00001d004159	0
Zm00001d004167	0
Zm00001d004169	0
Zm00001d004172	0
Zm00001d004176	0
Zm00001d004193	0
Zm00001d004198	0
Zm00001d004200	0
Zm00001d004260	0
Zm00001d004270	0
Zm00001d004372	0
Zm00001d004383	0
Zm00001d004386	0
Zm00001d004401	0
Zm00001d004407	0
Zm00001d004410	0
Zm00001d004448	0
Zm00001d004451	0
Zm00001d004458	0
Zm00001d004463	0
Zm00001d004466	0
Zm00001d004473	0
Zm00001d004481	0
Zm00001d004482	0
Zm00001d004498	0
Zm00001d004512	0
Zm00001d004513	0
Zm00001d004517	0
Zm00001d004541	0
Zm00001d004543	0
Zm00001d004545	0
Zm00001d004546	0
Zm00001d004551	0
Zm00001d004553	0
Zm00001d004564	0
Zm00001d004568	0
Zm00001d004573	0
Zm00001d004586	0
Zm00001d004591	0
Zm00001d004616	0
Zm00001d004702	0
Zm00001d004706	0
Zm00001d004731	0
Zm00001d004768	0
Zm00001d004779	0
Zm00001d004807	0
Zm00001d004812	0
Zm00001d004821	0
Zm00001d004839	0
Zm00001d004843	0
Zm00001d004851	0
Zm00001d004868	0
Zm00001d004875	0
Zm00001d004896	0
Zm00001d004898	0
Zm00001d004908	0
Zm00001d004913	0
Zm00001d004917	0
Zm00001d004925	0
Zm00001d004931	0
Zm00001d004933	0
Zm00001d004934	0
Zm00001d004936	0
Zm00001d004956	0
Zm00001d004960	0
Zm00001d004966	0
Zm00001d004976	0
Zm00001d004977	0
Zm00001d004979	0
Zm00001d004982	0
Zm00001d004986	0
Zm00001d004992	0
Zm00001d004993	0
Zm00001d004997	0
Zm00001d004999	0
Zm00001d005006	0
Zm00001d005012	0
Zm00001d005015	0
Zm00001d005016	0
Zm00001d005018	0
Zm00001d005019	0
Zm00001d005023	0
