gid	prop.p	prop.h	reg
Zm00001d001771	0.6068555964819966	0.6003031834259727	cis
Zm00001d001797	0.6281120331950207	0.5176470588235295	trans
Zm00001d001811	0.4406703910614525	0.5934579439252335	cis+trans
Zm00001d001831	0.6847311464321948	0.7014925373134329	cis
Zm00001d001855	0.4872944693572496	0.42424242424242425	unexpected
Zm00001d001870	0.5588039867109634	0.5965517241379311	cis
Zm00001d002302	0.5102688261813324	0.5666666666666667	cis
Zm00001d002340	0.5208736521979541	0.5709828393135725	cis+trans
Zm00001d002377	0.6776103336921421	0.7349397590361446	cis
Zm00001d002695	0.8406840684068406	0.6984126984126984	cis+trans
Zm00001d002734	0.4157995328095137	0.4070707070707071	cis
Zm00001d002762	0.5835172921265636	0.6424242424242425	cis+trans
Zm00001d002819	0.41529426784118473	0.45207439198855504	cis+trans
Zm00001d002854	0.4602444987775061	0.6411960132890365	cis+trans
Zm00001d002905	0.7461928934010152	0.5166666666666667	trans
Zm00001d002944	0.46256395474526196	0.5816326530612246	cis+trans
Zm00001d002967	0.5504309693028883	0.6414523449319214	cis+trans
Zm00001d003014	0.5414758269720102	0.44103547459252157	cis+trans
Zm00001d003035	0.5023232237898115	0.4685148514851485	unexpected
Zm00001d003081	0.4975342398867215	0.6364594309799789	unexpected
Zm00001d003116	0.6795102040816327	0.603448275862069	cis+trans
Zm00001d003148	0.4524905818334031	0.4315286624203822	cis
Zm00001d003181	0.7539340576995129	0.5915032679738562	cis+trans
Zm00001d003209	0.4404432132963989	0.6122448979591837	cis+trans
Zm00001d003256	0.5820099687029094	0.5149359886201992	trans
Zm00001d003284	0.4958758837391987	0.5860215053763441	unexpected
Zm00001d003329	0.5308692120227457	0.5697674418604651	cis
Zm00001d003378	0.8843806104129264	0.7634408602150538	cis+trans
Zm00001d003404	0.5043763676148797	0.5866336633663367	unexpected
Zm00001d003438	0.5848670756646217	0.5513784461152882	cis
Zm00001d003476	0.45713006492052827	0.5530085959885387	cis+trans
Zm00001d003518	0.5579567779960707	0.5772357723577236	cis
Zm00001d003584	0.43954171562867217	0.4866891638545182	trans
Zm00001d003640	0.6252204585537919	0.5238095238095238	trans
Zm00001d003663	0.4565989847715736	0.549800796812749	cis+trans
Zm00001d003678	0.5817236255572066	0.6571428571428571	cis
Zm00001d003725	0.6552462526766595	0.6341935483870967	cis
Zm00001d003760	0.0946601941747573	0.2584745762711864	cis+trans
Zm00001d003817	0.436150192669594	0.5444078947368421	cis+trans
Zm00001d003847	0.34616755793226384	0.6363636363636364	cis+trans
Zm00001d003879	0.49778319663045895	0.5670665212649946	unexpected
Zm00001d003948	0.5651805570263687	0.615916955017301	cis+trans
Zm00001d004006	0.5654804270462633	0.741051200724966	cis+trans
Zm00001d004136	0.5921234454168586	0.5244845360824743	trans
Zm00001d004169	0.6076493339063171	0.687041564792176	cis+trans
Zm00001d004270	0.6782820097244732	0.6032388663967612	cis+trans
Zm00001d004413	0.23477061920280773	0.3440187646598905	cis+trans
Zm00001d004477	0.5503333333333333	0.619047619047619	cis
Zm00001d004546	0.4895046179680941	0.7543859649122807	unexpected
Zm00001d004616	0.46329085994814934	0.3658536585365853	cis+trans
Zm00001d004768	0.554000751314801	0.5311355311355311	cis
Zm00001d004855	0.78255800396409	0.38596491228070173	cis+trans
Zm00001d004925	0.5051595491347832	0.5593220338983051	conserved
Zm00001d004977	0.6421052631578947	0.5935483870967742	cis
Zm00001d004999	0.5048262548262548	0.6222222222222222	unexpected
Zm00001d005023	0.5142954390742002	0.5499163413273842	cis+trans
Zm00001d005052	0.4917098445595855	0.4888888888888889	conserved
Zm00001d005090	0.44673316923608414	0.476551724137931	cis+trans
Zm00001d005137	0.5013626728575754	0.5526315789473684	conserved
Zm00001d005199	0.5353721444362565	0.5099601593625498	trans
Zm00001d005250	0.6378115402386324	0.6911764705882354	cis+trans
Zm00001d005338	0.5510388437217706	0.5423340961098397	cis
Zm00001d005402	0.4317039744175422	0.4909090909090909	trans
Zm00001d005457	0.27432126696832576	0.4418604651162791	trans
Zm00001d005485	0.5589237760793225	0.48013245033112584	trans
Zm00001d005532	0.7434284430465063	0.7915742793791574	cis+trans
Zm00001d005573	0.4778203385641912	0.47536231884057967	cis
Zm00001d005624	0.6392079207920791	0.5527950310559006	cis+trans
Zm00001d005662	0.5562700964630225	0.48484848484848486	trans
Zm00001d005699	0.5750878955298845	0.7018867924528303	cis+trans
Zm00001d005750	0.4787052810902896	0.6575342465753424	cis+trans
Zm00001d005772	0.5310765815760266	0.6136363636363635	cis
Zm00001d005818	0.5112350129957239	0.6194852941176471	cis+trans
Zm00001d005851	0.4008888888888889	0.16666666666666669	cis+trans
Zm00001d005871	0.4522292993630573	0.6627906976744187	cis+trans
Zm00001d005920	0.8964383561643836	0.8295019157088123	cis+trans
Zm00001d005958	0.5969960011703892	0.5099009900990099	trans
Zm00001d005978	0.5616253215328945	0.6721854304635762	cis+trans
Zm00001d006011	0.4888844382134989	0.5151515151515151	trans
Zm00001d006070	0.5373417721518987	0.4822064056939502	trans
